idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS01899D,15982.0,M2333,1.0,1,2019-01-04 08:11:07,114.052698703,22.6366961425,23.38798742965128,0.5586741112440233
BS01899D,15982.0,M2333,1.0,1,2019-01-04 08:11:11,114.053221196,22.6364471536,23.554736896674264,0.5626572932330548
BS00077D,15982.0,M2333,1.0,1,2019-01-04 08:11:16,114.053159919,22.6364763544,23.561817407418435,0.5628264269842616
BS00077D,15982.0,M2333,1.0,1,2019-01-04 08:11:17,114.053252306,22.6364323283,23.551142148638046,0.5625714246789382
BS01899D,15982.0,M2333,1.0,1,2019-01-04 08:11:17,114.053739767,22.6361994511,23.508311430323577,0.5615483176860747
BS00077D,15982.0,M2333,1.0,1,2019-01-04 08:11:26,114.053871242,22.6361354835,23.52357033736431,0.561912810627384
BS01899D,83503.0,M2333,1.0,1,2019-01-04 08:11:27,114.054234816,22.6359999924,23.564058283192395,0.5628799552874211
BS00077D,83503.0,M2333,1.0,1,2019-01-04 08:11:56,114.054055249,22.6360472887,23.544870953157552,0.562421623223296
BS01899D,83503.0,M2333,1.0,1,2019-01-04 08:11:56,114.054393395,22.6359621646,23.58088982300549,0.5632820140611499
BS01899D,83503.0,M2333,1.0,1,2019-01-04 08:11:57,114.054424422,22.6359547633,23.584182883409984,0.5633606761350152
BS00077D,83503.0,M2333,1.0,1,2019-01-04 08:12:06,114.054234585,22.6360000475,23.564033773747173,0.5628793698247955
BS01899D,83503.0,M2333,1.0,1,2019-01-04 08:12:07,114.054446938,22.6359493921,23.5865726302986,0.5634177605559433
BS00077D,83503.0,M2333,1.0,1,2019-01-04 08:12:46,114.054403826,22.6359596763,23.58199692180661,0.5633084595789882
BS00077D,83503.0,M2333,1.0,1,2019-01-04 08:12:47,114.054441211,22.6359507584,23.58596478892349,0.5634032409124282
BS01899D,18088.0,M2333,1.0,1,2019-01-04 08:12:47,114.054617118,22.6359455179,23.604191045840945,0.5638386156070354
BS00077D,83503.0,M2333,1.0,1,2019-01-04 08:12:56,114.054481609,22.6359411218,23.590252441123848,0.5635056610240159
BS01899D,18088.0,M2333,1.0,1,2019-01-04 08:12:57,114.054899478,22.6359547296,23.67971043954505,0.5656425643343996
BS00077D,18088.0,M2333,1.0,1,2019-01-04 08:13:16,114.054538108,22.6359429402,23.596064165512026,0.5636444869904281
BS00077D,18088.0,M2333,1.0,1,2019-01-04 08:13:26,114.054575717,22.6359441672,23.599932585281504,0.5637368928027339
BS01899D,18088.0,M2333,1.0,1,2019-01-04 08:13:27,114.05498381,22.6359574808,23.671036145491232,0.5654353595231364
BS00077D,52146.0,M2333,1.0,1,2019-01-04 08:13:36,114.0553068,22.6359754,23.675177518040144,0.5655342854198196
BS01899D,52146.0,M2333,1.0,1,2019-01-04 08:13:37,114.0554307,22.6359813,23.687930613916198,0.5658389214867575
